id,text,length
55,ТАКОЖ ПОТРІБНО ВРАХОВУВАТИ КОФЕЇН ЩО МІСТИТЬСЯ В ІНШИХ ПРОДУКТАХ ЦЕ ВПЛИВАЄ НА МАКСИМАЛЬНУ ДОПУСТИМУ ДОЗУ ВЖИВАННЯ КАВИ ДОДАЛА ЕКСПЕРТКА,136
56,РЕКОМЕНДАЦІЇ ДЕЩО РІЗНЯТЬСЯ ЧЕРЕЗ РІЗНУ КУЛЬТУРУ СПОЖИВАННЯ КАВИ ТА ВІДМІННИЙ ПРОФІЛЬ ДОСЛІДЖЕНЬ ХОЧА ВОНИ НЕ Є СУТТЄВИМИ,121
57,КАВА МОЖЕ ПО РІЗНОМУ ВПЛИВАТИ НА АПЕТИТ ПІДЛІТКІВ В ОДНИХ ВОНА ЙОГО ЗМЕНШУЄ А ІНШИХ НЕ ЗМІНЮЄ ВЗАГАЛІ А В ДЕКОГО ПРОВОКУЄ НУДОТУ,128
58,У ДЕЯКИХ ДІТЕЙ ВЖИВАННЯ КАВИ ПРИЗВОДИТЬ ДО ПІДВИЩЕННЯ ЕНЕРГІЇ ЗМЕНШЕННЯ ВТОМИ ТА ЗРОСТАННЯ КОНЦЕНТРАЦІЇ УВАГИ А В ДЕЯКИХ НАВПАКИ ПІДВИЩУЄ ТРИВОГУ ТА ВИКЛИКАЄ ГОЛОВНИЙ БІЛЬ,171
59,ПОЛІФЕНОЛИ ЩО МІСТЯТЬСЯ В КАВІ ЗВ ЯЗУЮТЬСЯ ІЗ ЗАЛІЗОМ І УТВОРЮЮТЬ НЕРОЗЧИННІ КОМПЛЕКСИ ЧЕРЕЗ ЩО ЧАСТИНА ЗАЛІЗА НЕ ЗАСВОЮЄТЬСЯ ТА ВИВОДИТЬСЯ З ОРГАНІЗМУ,151
60,ТАКОЖ КОФЕЇН ВПЛИВАЄ НА ЗАСВОЄННЯ КАЛЬЦІЮ ТА МАГНІЮ АЛЕ ЦЕ НЕ НАСКІЛЬКИ КРИТИЧНО ЯК У ВИПАДКУ ІЗ ЗАЛІЗОМ ТОМУ ЩО ПРИ ЗБАЛАНСОВАНОМУ РАЦІОНІ ЦІ КОМПОНЕНТИ КОМПЕНСУЮТЬСЯ ОРГАНІЗМОМ,178
61,У ПЕРІОД АКТИВНОГО РОЗВИТКУ ДИТИНИ ЦЕ ДУЖЕ ВАЖЛИВО АДЖЕ ДЕФІЦИТ КАЛЬЦІЮ МОЖЕ ПРИЗВЕСТИ ДО ПОРУШЕНЬ ФОРМУВАННЯ КІСТКОВОЇ СИСТЕМИ ТА ПРОБЛЕМ ІЗ ЙОГО ОБМІНОМ ДОДАЛА ПЕДІАТРИНЯ,172
62,ЯКЩО ПРОТЯГОМ ДНЯ ДИТИНА ВЖИВАЛА БУДЬ ЯКІ КОФЕЇНОВМІСНІ ПРОДУКТИ ПОТРІБНО ПИТИ БІЛЬШЕ ВОДИ ТОМУ ЩО КОФЕЇН ПОСИЛЮЄ СЕЧОВИДІЛЕННЯ І ЙОГО НАДМІРНЕ ВЖИВАННЯ МОЖЕ СПРИЯТИ ЗНЕВОДНЕННЮ,177
63,ПІСЛЯ ЙОГО ВЖИВАННЯ ЗДАЄТЬСЯ ЩО СИЛ ПОБІЛЬШАЛО Й ПІДЛІТКИ МОЖУТЬ ДУМАТИ ЩО ТАКИМ ЧИНОМ ВОНИ ЗМОЖУТЬ ДОВШЕ Й ЕФЕКТИВНІШЕ НАВЧАТИСЯ,129
64,АЛЕ З ЧАСОМ ЩОБ ПІДТРИМУВАТИ ЦЕЙ ЕФЕКТ І ВИГЛЯДАТИ ТАК НІБИ ВТОМИ НЕМАЄ ОРГАНІЗМ ПОТРЕБУВАТИМЕ ЩОРАЗУ БІЛЬШОЇ КІЛЬКОСТІ КАВИ,124
65,ТОБТО НА ПОЧАТКУ КОФЕЇН МОЖЕ ДОПОМАГАТИ АЛЕ КОЛИ ЕНЕРГІЯ ВИЧЕРПУЄТЬСЯ ОРГАНІЗМ БІЛЬШЕ НЕ ЗДАТЕН МАСКУВАТИ ВИСНАЖЕННЯ ПОЯСНЮЄ КАТЕРИНА КРУТІКОВА,143
66,Є ЧИМАЛО ЗАМІННИКІВ КАВИ ЯКІ МОЖНА ВЖИВАТИ ДІТЯМ ТА ПІДЛІТКАМ НАПОЇ З ЦИКОРІЮ НЕ МІСТЯТЬ КОФЕЇНУ ТА ВКЛЮЧАЮТЬ ІНУЛІН КОРИСНА ПРЕБІОТИЧНА КЛІТКОВИНА ТОМУ МОЖУТЬ БУТИ ХОРОШОЮ АЛЬТЕРНАТИВОЮ,186
67,ТАКОЖ МАЄ ЗНАЧЕННЯ З ЧИМ ПИТИ КАВУ І ПРО ЦЕ НЕ СЛІД ЗАБУВАТИ ТОМУ ЩО КАВА БЕЗ ДОБАВОК ЦЕ РІДИНА А З МОЛОКОМ ЦУКРОМ ВЕРШКАМИ АБО СИРОПАМИ ВОНА СТАЄ РІДКОЮ ЇЖЕЮ,158
68,ЦЕ СТОСУЄТЬСЯ НАПРИКЛАД ГАРБУЗОВОГО ЛАТЕ ДЕ В ОСНОВІ МОЛОКО ЦУКОР ТА СИРОП ЗІ ЗБИТИМИ ВЕРШКАМИ ПОСИПАНИМИ МАРШМЕЛОУ ЧИ ПЕЧИВОМ,126
69,РЕГУЛЯРНЕ ВЖИВАННЯ ТАКИХ НАПОЇВ МОЖЕ ПРИЗВЕСТИ ДО НАДЛИШКУ КАЛОРІЙ КОЛИВАНЬ ГЛЮКОЗИ ТА НАБОРУ ЗАЙВОЇ ВАГИ ДОДАЛА ДІЄТОЛОГИНЯ,124
70,ДІЄТОЛОГИНЯ РОЗПОВІДАЄ ЩО ПІДЛІТКИ У ЯКИХ Є ЦІ СТАНИ АБО ЗАХВОРЮВАННЯ МАЮТЬ БУТИ ОБЕРЕЖНІ З КІЛЬКІСТЮ КОФЕЇНУ ПІДВИЩЕНА ТРИВОЖНІСТЬ АБО СХИЛЬНІСТЬ ДО ПАНІЧНИХ АТАК,163
71,ПРИСЛУХАТИСЯ ДО ОСОБИСТИХ ПОТРЕБ І СТЕЖИТИ ЗА РЕАКЦІЄЮ СВОГО ОРГАНІЗМУ ТА ПАМ ЯТАТИ ЩО ВАША РЕАКЦІЯ НА КОФЕЇН МОЖЕ ВІДРІЗНЯТИСЯ ВІД РЕАКЦІЇ БАТЬКІВ ЧИ ДРУЗІВ,157
72,ПОТРІБНО АНАЛІЗУВАТИ ЯК ВИ ПОЧУВАЄТЕСЯ ПІСЛЯ ВЖИВАННЯ НАПОЇВ ЩО МІСТЯТЬ КОФЕЇН ЧИ ВИНИКАЄ ТРИВОГА ЗБІЛЬШУЄТЬСЯ ПАНІКА АБО ПОГІРШУЄТЬСЯ СОН ПОЯСНЮЄ КАТЕРИНА СИРОТКА,163
73,НАВІТЬ ЯКЩО ПІСЛЯ КОФЕЇНУ З ЯВЛЯЄТЬСЯ ВІДЧУТТЯ ТИМЧАСОВОГО ПРИПЛИВУ ЕНЕРГІЇ ПОТРІБНО ПАМ ЯТАТИ ЩО КАВА НЕ Є ЗАМІННИКОМ ПОВНОЦІННОГО СНУ ЗДОРОВОГО ХАРЧУВАННЯ РЕЖИМУ ДНЯ ЧИ ВІДПОЧИНКУ,181
74,ЯКЩО ПІСЛЯ ВЖИВАННЯ КАВИ ВИ ВІДЧУВАЄТЕ СЕБЕ НЕ ДУЖЕ ДОБРЕ ВАРТО ОБМЕЖИТИ ЇЇ СПОЖИВАННЯ НА ПЕВНИЙ ЧАС ОБГОВОРИТИ ЦЕ З БАТЬКАМИ АБО ЛІКАРЕМ ПОЯСНЮЄ ПЕДІАТРИНЯ,156
75,ЦЕ ВІДБУВАЄТЬСЯ КОЛИ ЛЮДИНА ВЖИВАЄ БАГАТО ЧАШОК КАВИ ЩОДНЯ ПРИПИНЕННЯ ЇЇ СПОЖИВАННЯ МОЖЕ ВИКЛИКАТИ ПОГІРШЕННЯ САМОПОЧУТТЯ ДОДАЛА ЛОЗЮК,134
76,ДІТИ ЩЕ НЕ МАЮТЬ ДОСТАТНЬОГО ЖИТТЄВОГО ДОСВІДУ Й НЕ ЗАВЖДИ МОЖУТЬ ПРАВИЛЬНО ОЦІНИТИ НАСЛІДКИ ТОМУ ЗАВДАННЯ ДОРОСЛИХ ДОПОМАГАТИ ЇМ ФОРМУВАТИ ЗДОРОВІ ЗВИЧКИ ДОДАЛА КАТЕРИНА КРУТІКОВА,180
77,ЕП ПРОВЕЛА ОПИТУВАННЯ КОМПАНІЙ З РІЗНИХ СФЕР ЯКЕ ПІДТВЕРДИЛО ВОНИ НЕ ЗУПИНЯЛИ РОБОТУ ЗАВДЯКИ ЗАВЧАСНО ПРИДБАНИМ ГЕНЕРАТОРАМ АБО ІНШИМ ДЖЕРЕЛАМ БЕЗПЕРЕБІЙНОГО ЖИВЛЕННЯ,166
78,ВІН ПОПЕРЕДЖАЄ ЩО ЗБЕРЕЖЕННЯ ПОТОЧНОГО РІВНЯ ВІДКЛЮЧЕНЬ ЕЛЕКТРОЕНЕРГІЇ ПРИЗВЕДЕ ДО ТОГО ЩО ІНВЕСТИЦІЇ СПРЯМОВУВАТИМУТЬСЯ НЕ НА РОЗВИТОК А НА ПІДТРИМКУ ЖИТТЄЗДАТНОСТІ ОБ ЄКТІВ,174
79,В МЕРЕЖІ СІЛЬПО ВІДПОВІЛИ ЩО УСІ СУПЕРМАРКЕТИ ОБЛАДНАНІ ГЕНЕРАТОРАМИ МАЮТЬ ДОСТАТНІ ЗАПАСИ ТОВАРІВ А ПОСТАЧАННЯ ПРОДУКТІВ ВІДБУВАЄТЬСЯ У ЗВИЧНОМУ РЕЖИМІ,152
80,ГРАФІК РОБОТИ МАГАЗИНІВ НЕЗМІННИЙ ПРОТЕ ЧЕРЕЗ НИЗЬКУ ТЕМПЕРАТУРУ Й ЧАСТКОВІ БЛЕКАУТИ ОБЛАДНАННЯ В ОКРЕМИХ СУПЕРМАРКЕТАХ ЧАСОМ ВИХОДИТЬ ІЗ ЛАДУ,142
81,НАЯВНИХ ГЕНЕРАТОРІВ ВИСТАЧАЄ ПРОТЕ ВРАХОВУЮЧИ ІНТЕНСИВНІСТЬ ВИКОРИСТАННЯ ОБЛАДНАННЯ З ЧАСОМ ПОТРЕБУЄ ОНОВЛЕННЯ ТА РЕМОНТУ КАЖУТЬ В МЕРЕЖІ МУЛЬТИМАРКЕТІВ АВРОРА,159
82,ВІДКЛЮЧЕННЯ ЕЛЕКТРОЕНЕРГІЇ ПРИЗВОДЯТЬ ДО ЗРОСТАННЯ ОПЕРАЦІЙНИХ ВИТРАТ НАСАМПЕРЕД НА ПАЛЬНЕ ТА ОБСЛУГОВУВАННЯ РЕЗЕРВНИХ СИСТЕМ КОНСТАТУЄ ШЕРЕМЕТ,143
83,ЯК І ВСІ МИ СТИКАЄМОСЯ З ВИКЛИКАМИ ТИМЧАСОВА ВІДСУТНІСТЬ ВОДОПОСТАЧАННЯ В ОКРЕМИХ РЕСТОРАНАХ ЧИ НЕСПРАВНІСТЬ ГЕНЕРАТОРІВ ЧЕРЕЗ МОРОЗИ,133
84,У ТАКИХ ВИПАДКАХ ЗАКЛАД ТИМЧАСОВО ПРИПИНЯЄ ОБСЛУГОВУВАННЯ ГОСТЕЙ А НАШІ КОМАНДИ ПРАЦЮЮТЬ НАД ТИМ ЩОБ ЯКНАЙШВИДШЕ ВІДНОВИТИ РОБОТУ РЕСТОРАНУ ВІДПОВІЛИ В КОМПАНІЇ,160
85,ТАКА КООПЕРАЦІЯ СТАЛА ЧАСТИНОЮ НОВОЇ БІЗНЕС РЕАЛЬНОСТІ В УКРАЇНІ ДЕ СТІЙКІСТЬ ФОРМУЄТЬСЯ ЧЕРЕЗ ЛЮДЯНІСТЬ І ВЗАЄМНУ ПІДТРИМКУ ПІДСУМОВУЮТЬ В КОМПАНІЇ,148
86,ЯКЩО ЗА ПЛАНОВИХ ВІДКЛЮЧЕНЬ ВИТРАТИ НА ОБСЛУГОВУВАННЯ ТА ЗАПРАВКУ ГЕНЕРАТОРІВ МОЖНА БУЛО ПОРІВНЯТИ З УМОВНОЮ ДРУГОЮ КОМУНАЛКОЮ ТО ЗАРАЗ ЦЕ ВДВІЧІ А ТО Й ВТРИЧІ БІЛЬШІ СУМИ,171
87,БІЛОБОРОДОВА ДОДАЄ РОБОТА ФАКТИЧНО В АВТОНОМНОМУ РЕЖИМІ ОЗНАЧАЄ РІЗКЕ ЗРОСТАННЯ ВИТРАТ ЗНОШУВАННЯ ОБЛАДНАННЯ І КОЛОСАЛЬНЕ НАВАНТАЖЕННЯ,134
88,ФАРМА ПОТУЖНОСТІ ВИРОБНИКА ЛІКІВ ЛУБНИФАРМ ПІДТРИМУЮТЬ ЧОТИРИ ВЕЛИКІ ГЕНЕРАТОРИ АЛЕ КОМПАНІЯ НЕ МОЖЕ БЕЗПЕРЕРВНО НА НИХ ПРАЦЮВАТИ,129
89,АЗС ТІ ХТО ВЛАСНЕ І ЗАБЕЗПЕЧУЄ ПАЛЬНИМ ВСІ ГЕНЕРАТОРИ ТОЧНО ПОДБАЛИ ПРО ДЖЕРЕЛА ЖИВЛЕННЯ ДЛЯ ВЛАСНОЇ БЕЗПЕРЕБІЙНОЇ РОБОТИ,121
90,НА БІЛЬШОСТІ СТАНЦІЙ ВСТАНОВЛЕНІ РЕЗЕРВНІ ГЕНЕРАТОРИ ЯКІ ПІДСИЛЮЮТЬ ЕНЕРГОЗАБЕЗПЕЧЕННЯ ЗАЛЕЖНО ВІД НАВАНТАЖЕННЯ РОЗПОВІЛИ В ДЕРЖАВНІЙ КОМПАНІЇ,142
91,ЧЕРЕЗ СКЛАДНІ ПОГОДНІ УМОВИ ТА ВИСОКЕ НАВАНТАЖЕННЯ НА ОБЛАДНАННЯ МИ ЗАЛУЧАЄМО ДОДАТКОВІ ПІДРЯДНІ БРИГАДИ ДЛЯ ОБСЛУГОВУВАННЯ ЩОБ МІНІМІЗУВАТИ РИЗИКИ ЗУПИНОК РОБОТИ,162
93,В ПОРІВНЯННІ З ГРУДНЕМ СТАЛІСТЬ РОБОТИ МЕРЕЖІ СТОЛИЦІ СУТТЄВО ЗРОСЛА АДЖЕ ВДАЛОСЬ ЗНАЧНО ЗБІЛЬШИТИ КІЛЬКІСТЬ ДОДАТКОВИХ ГЕНЕРАТОРІВ ЯК ПАРТНЕРСЬКИХ ТАК І ВЛАСНИХ СТАЦІОНАРНИХ ГЕНЕРАТОРІВ,186
94,ЯК В ІНШИХ БІЗНЕСІВ МОБІЛЬНІ ОПЕРАТОРИ ТЕЖ СТИКАЮТЬСЯ З ВИПАДКАМИ ЗАМЕРЗАННЯ ПАЛИВНИХ СИСТЕМ ЩО ПОТРЕБУЄ НЕГАЙНОГО ВИЇЗДУ АВАРІЙНИХ БРИГАД,138
95,УСІ ВІДДІЛЕННЯ ОБЛАДНАНІ ГЕНЕРАТОРАМИ ТА АЛЬТЕРНАТИВНИМИ КАНАЛАМИ ЗВ ЯЗКУ А В ЧАСТИНІ З НИХ ДОДАТКОВО ВСТАНОВЛЕНІ ІНВЕРТОРИ ДЛЯ МАКСИМАЛЬНО ПЛАВНОГО ПЕРЕХОДУ НА РЕЗЕРВНЕ ЖИВЛЕННЯ,178
96,ЗАПАСИ ПАЛЬНОГО РЕГУЛЯРНО ТА ОПЕРАТИВНО ПОПОВНЮЮТЬСЯ ЩО ДОЗВОЛЯЄ ЗАБЕЗПЕЧУВАТИ СТАБІЛЬНУ РОБОТУ НАВІТЬ ПІД ЧАС ТРИВАЛИХ ВІДКЛЮЧЕНЬ ВІДПОВІЛИ В ПУМБ,147
97,ЙДЕТЬСЯ НАСАМПЕРЕД ПРО ВИТРАТИ НА ПАЛИВО ДЛЯ АЛЬТЕРНАТИВНИХ ДЖЕРЕЛ ЖИВЛЕННЯ ТЕХНІЧНЕ ОБСЛУГОВУВАННЯ ОБЛАДНАННЯ ЛОГІСТИКУ СЕРВІСНУ ПІДТРИМКУ ТА ЗАБЕЗПЕЧЕННЯ БЕЗПЕРЕБІЙНОГО ЗВ ЯЗКУ,178
98,ВИКОРИСТАННЯ АЛЬТЕРНАТИВНИХ ДЖЕРЕЛ ЖИВЛЕННЯ БЕЗУМОВНО ПРИЗВОДИТЬ ДО ПЕВНИХ ПРОБЛЕМ СЕРЕД ЯКИХ ЗРОСТАННЯ ОПЕРАЦІЙНИХ ВИТРАТ У БУДЬ ЯКОГО ГОСПОДАРЮЮЧОГО СУБ ЄКТА,159
99,ВОДНОЧАС ТАРИФИ ДЛЯ КЛІЄНТІВ НЕ ПЕРЕГЛЯДАЮТЬСЯ У ЗВ ЯЗКУ З ВИМУШЕНОЮ РОБОТОЮ В УМОВАХ БЛЕКАУТІВ ПІДТВЕРДЖУЮТЬ В ОЩАДБАНКУ,121
100,ЦІ ГЕНЕРАТОРИ НЕ РОЗРАХОВАНІ НА ЦІЛИЙ ДЕНЬ РОБОТИ ОСОБЛИВО В ТАКІ МОРОЗИ ТОМУ ВОНИ ЧАСТО ВИХОДЯТЬ З ЛАДУ І МИ ОКРЕМО НАЛАГОДИЛИ ПРОЦЕС РЕМОНТУ ТА ЗАМІНИ ДІЛИТЬСЯ ГОЛОВА УКРПОШТИ ІГОР СМІЛЯНСЬКИЙ,194
101,ЩОДО ПРОБЛЕМ ОКРІМ ЗАЗНАЧЕНИХ ВИЩЕ ТО ДОДАЄТЬСЯ СКЛАДНОСТІ ТЕ ЩО МИ КОМПАНІЯ З ДЕРЖАВНОЮ УЧАСТЮ І ВІДПОВІДНО НЕ МОЖЕМО ЗАЛУЧАТИ МАЙСТРІВ НА РЕМОНТ ЧИ КУПЛЯТИ ГЕНЕРАТОРИ ПО ПРЯМИМ ДОГОВОРАМ,188
102,ЯК ПОКАЗУЄ ДОСВІД СВІТЛО ТА ЕЛЕКТРИКУ ВСІ БАЖАЮТЬ СЬОГОДНІ А РОЗБІР ПОЛЬОТІВ ПО ЯКІЙ ЦІНІ ЩО КУПЛЯЛОСЬ У СІЧНІ БУДЕ ВЖЕ В ТРАВНІ ДОДАЄ СМІЛЯНСЬКИЙ,146
103,ТРУБНА ПРОДУКЦІЯ ПЕРЕЛІЧЕНІ ВИЩЕ КОМПАНІЇ СПРАВЛЯЮТЬСЯ ЗА РАХУНОК ГЕНЕРАТОРІВ ТА ІНШИХ АЛЬТЕРНАТИВНИХ ДЖЕРЕЛ ЕЛЕКТРОЕНЕРГІЇ,123
104,ІНТЕРПАЙП ВИВЧАВ ПИТАННЯ ЩОДО МОЖЛИВИХ АЛЬТЕРНАТИВНИХ ДЖЕРЕЛ ЕЛЕКТРОЕНЕРГІЇ ТА ДІЙШОВ ВИСНОВКУ ЩО МОБІЛЬНІ ГЕНЕРАТОРИ НЕ ПІДХОДЯТЬ ДЛЯ НАШИХ ПРОМИСЛОВИХ АКТИВІВ ТА ЇХ РЕЖИМІВ РОБОТИ,181
105,ТОМУ ЗМУШЕНІ ЗАЛИШАТИСЯ НА ІСНУЮЧІЙ СХЕМІ ПОСТАЧАННЯ ЕЛЕКТРОЕНЕРГІЇ ТА ПОВНІСТЮ ЗАЛЕЖАТИ ВІД СТАНУ ЕНЕРГОСИСТЕМИ УКРАЇНИ ТА ВІД СТАНУ МЕРЕЖ УКРЕНЕРГО ПОВІДОМИЛИ В КОМПАНІЇ,171
106,ЩОПРАВДА ЦЯ НОРМА НЕ ЗАСТОСОВУЄТЬСЯ ЯКЩО ЗА ВКАЗІВКОЮ ДИСПЕТЧЕРА УКРЕНЕРГО ЗАПРОВАДЖУЮТЬСЯ СПЕЦІАЛЬНІ ГРАФІКИ АВАРІЙНИХ ВІДКЛЮЧЕНЬ ІЗ МЕТОЮ ЗАХИСТУ КРИТИЧНОЇ ІНФРАСТРУКТУРИ,172
107,ПАНДЕМІЯ ШИРОКОМАСШТАБНА ВІЙНА ТЕХНОЛОГІЧНІ ПРОРИВИ ЗМІНИ В ДЕМОГРАФІЇ ТА ЕКОНОМІЦІ УСЕ ЦЕ СТВОРЮЄ НОВУ РЕАЛЬНІСТЬ У ЯКІЙ ЖИТИМУТЬ НАШІ ДІТИ,140
108,НА ПЕРШИЙ ПЛАН ВИХОДЯТЬ УМІННЯ ЯКІ НЕ МОЖНА АВТОМАТИЗУВАТИ КРИТИЧНЕ МИСЛЕННЯ ЕМОЦІЙНИЙ ІНТЕЛЕКТ ЗДАТНІСТЬ ДО САМООСВІТИ СПІВПРАЦІ ДІЙ У НЕПЕРЕДБАЧУВАНИХ УМОВАХ,159
109,ОСВІТА МАЄ ВІДПОВІДАТИ ЦИМ ВИКЛИКАМ НЕ СКІЛЬКИ ЧЕРЕЗ ПРОСТЕ ОНОВЛЕННЯ ШКІЛЬНИХ ПРОГРАМ А ЧЕРЕЗ ПЕРЕГЛЯД САМОЇ ЛОГІКИ НАВЧАННЯ,125
110,ЦЕ І ПРО ДИТИНОЦЕНТРИЗМ ОДИН ІЗ КЛЮЧОВИХ ПРИНЦИПІВ РЕФОРМИ НОВА УКРАЇНСЬКА ШКОЛА І ПРО СТВОРЕННЯ ГІДНИХ УМОВ РОБОТИ ДЛЯ ВЧИТЕЛЯ ЯКИЙ ЩОДНЯ ВТІЛЮЄ ЗМІНИ НА ПРАКТИЦІ,163
111,БО САМЕ ВЧИТЕЛЬ Є КЛЮЧОВОЮ ФІГУРОЮ ОСВІТНЬОГО ПРОЦЕСУ І ВІД ЙОГО РЕСУРСУ ЗАЛУЧЕНОСТІ ТА ПРОФЕСІЙНОЇ СВОБОДИ ЗАЛЕЖИТЬ ЯКОЮ ШКОЛА БУДЕ ДЛЯ ДИТИНИ,143
112,І ВСІ ВОНИ МАЮТЬ ПРАЦЮВАТИ РАЗОМ НА РОЗВИТОК СУЧАСНОЇ ОСВІТИ ЯКА ДАЄ УЧНЯМ НЕ ЛИШЕ ЗНАННЯ А Й УПЕВНЕНІСТЬ ВНУТРІШНЮ ОПОРУ Й РОЗУМІННЯ ЯК БУТИ ЧАСТИНОЮ СУСПІЛЬСТВА,162
113,У НУШ ЗАКЛАДЕНО ВАЖЛИВІ ЗАСАДНИЧІ ПРИНЦИПИ ОРІЄНТАЦІЮ НА ПОТРЕБИ ДИТИНИ ФОРМУВАННЯ КОМПЕТЕНТНОСТЕЙ ПОВАГУ ДО ОСОБИСТОСТІ УЧНЯ ПЕДАГОГІКУ ПАРТНЕРСТВА,148
114,ЦЕ БУВ І ЗАЛИШАЄТЬСЯ ВАЖЛИВИЙ КРОК У РОЗВИТКУ СУЧАСНОЇ УКРАЇНСЬКОЇ ОСВІТИ ЩО ЗБЛИЖУЄ НАС ІЗ ЄВРОПЕЙСЬКИМИ ПІДХОДАМИ Й ВІДПОВІДАЄ НАЦІОНАЛЬНОМУ ЗАПИТУ НА ЗМІНИ,158
115,ТАКИЙ ВІДКРИТИЙ ДІАЛОГ ДОПОМІГ ПОБАЧИТИ НЕ ЛИШЕ СИЛЬНІ СТОРОНИ РЕФОРМИ А Й ТІ МІСЦЯ ДЕ ЗМІНИ НЕ ЗАКРІПИЛИСЬ АБО ВИЯВИЛИСЯ НЕДОСТАТНІМИ,134
116,ДОДАТКОВО ЗВУЧАЛА ПОТРЕБА ОНОВИТИ ЗМІСТ ЩОБ ВІН БУВ БЛИЖЧИМ ДО РЕАЛЬНОГО ЖИТТЯ А ТАКОЖ ЗАБЕЗПЕЧИТИ СУЧАСНЕ ОБЛАДНАННЯ ЦИФРОВІ РІШЕННЯ І ЯКІСНУ ПІДГОТОВКУ ВЧИТЕЛІВ,162
